ESP Slug,GCAM Indicator name,Stackable sub-category?,Standardized Unit,Unit of Entry,Conversion factor,Definition
Electricity|Capacity additions by technology|Coal w/ CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Coal w/o CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Gas w/ CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Gas w/o CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Oil w/ CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Oil w/o CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Solar,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Wind,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Biomass w/ CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Biomass w/o CCS,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Nuclear,,yes,GW/yr,,,
Electricity|Capacity additions by technology|Geothermal,,yes,GW/yr,,,
Electricity|Generation by technology|Coal w/ CCS,Secondary Energy|Electricity|Coal|w/ CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Coal w/o CCS,Secondary Energy|Electricity|Coal|w/o CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Gas w/ CCS,Secondary Energy|Electricity|Gas|w/ CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Gas w/o CCS,Secondary Energy|Electricity|Gas|w/o CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Oil w/ CCS,Secondary Energy|Electricity|Oil|w/ CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Oil w/o CCS,Secondary Energy|Electricity|Oil|w/o CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Solar,Secondary Energy|Electricity|Solar,yes,EJ/yr,,,
Electricity|Generation by technology|Wind,Secondary Energy|Electricity|Wind,yes,EJ/yr,,,
Electricity|Generation by technology|Biomass w/ CCS,Secondary Energy|Electricity|Biomass|w/ CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Biomass w/o CCS,Secondary Energy|Electricity|Biomass|w/o CCS,yes,EJ/yr,,,
Electricity|Generation by technology|Nuclear,Secondary Energy|Electricity|Nuclear,yes,EJ/yr,,,
Electricity|Generation by technology|Hydro,Secondary Energy|Electricity|Hydro,yes,EJ/yr,,,
Electricity|Generation by technology|Geothermal,Secondary Energy|Electricity|Geothermal,yes,EJ/yr,,,
Industry|Emissions by sub-sector|Iron and Steel,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Chemicals,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Cement,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Mining,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Refineries,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Waste,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Agriculture,,yes,Mt CO2e/yr,,,
Industry|Emissions by sub-sector|Natural Gas,,yes,Mt CO2e/yr,,,
Industry|Outputs|Total steel generated,,no,million metric tons/yr,,,
Industry|Outputs|Total cement generated,,no,million metric tons/yr,,,
Industry|Intensities|Emissions per ton of steel generated,,no,g CO2e/metric ton,,,
Industry|Intensities|Emissions per ton of cement generated,,no,g CO2e/metric ton,,,
Buildings|,,,,,,
Transportation|,,,,,,
Transportation|Energy use by freight/passenger|freight,Final Energy|Transportation|Freight,yes,EJ/yr,,,
Transportation|Energy use by freight/passenger|passenger,Final Energy|Transportation|Passenger,yes,EJ/yr,,,
Transportation|Energy use by fuel|Electricity,Final Energy|Transportation|Electricity,yes,EJ/yr,,,
Transportation|Energy use by fuel|Gases,Final Energy|Transportation|Gases,yes,EJ/yr,,,
Transportation|Energy use by fuel|Hydrogen,Final Energy|Transportation|Hydrogen,yes,EJ/yr,,,
Transportation|Energy use by fuel|Liquids,Final Energy|Transportation|Liquids,yes,EJ/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Cropland",Land Cover|Cropland,yes,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Forest",Land Cover|Forest,yes,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Pasture",Land Cover|Pasture,yes,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Other",{Land Cover} - {Land Cover|Cropland + Land Cover|Forest + Land Cover|Pasture},yes,million Ha/yr,,,
Policy|Carbon price,Price|Carbon,no,US$2016/tCO2,US$2005/tCO2,1.23,price of carbon
Technology|,,,,,,
Financial|,,,,,,
